stream_id,checkpoint,processed,exact,estimate
0,0,400001,275419,259429
0,1,800001,398665,379741
0,2,1200001,454566,428618
0,3,1600001,479595,450965
0,4,2000001,490791,461163
0,5,2400001,495839,465881
0,6,2800001,498130,467934
0,7,3200001,499144,468713
0,8,3600001,499629,469154
0,9,4000001,499820,469327
0,10,4400001,499914,469447
0,11,4800001,499964,469493
0,12,5200001,499989,469526
0,13,5600001,499991,469527
0,14,6000001,499995,469527
0,15,6400001,499998,469527
0,16,6800001,500000,469527
0,17,7200001,500000,469527
0,18,7600001,500000,469527
0,19,8000001,500000,469527
0,20,8400001,500000,469527
0,21,8800001,500000,469527
0,22,9200001,500000,469527
0,23,9600001,500000,469527
0,24,10000000,500000,469527
1,0,400001,275227,260009
1,1,800001,398719,379540
1,2,1200001,454304,430592
1,3,1600001,479481,453244
1,4,2000001,490782,463437
1,5,2400001,495976,467817
1,6,2800001,498208,470027
1,7,3200001,499217,470928
1,8,3600001,499658,471270
1,9,4000001,499843,471480
1,10,4400001,499928,471563
1,11,4800001,499966,471590
1,12,5200001,499987,471616
1,13,5600001,499994,471618
1,14,6000001,499997,471618
1,15,6400001,499998,471618
1,16,6800001,499999,471618
1,17,7200001,499999,471618
1,18,7600001,500000,471618
1,19,8000001,500000,471618
1,20,8400001,500000,471618
1,21,8800001,500000,471618
1,22,9200001,500000,471618
1,23,9600001,500000,471618
1,24,10000000,500000,471618
2,0,400001,275284,261405
2,1,800001,399084,382216
2,2,1200001,454657,431739
2,3,1600001,479704,454433
2,4,2000001,490921,464448
2,5,2400001,495855,468889
2,6,2800001,498227,471213
2,7,3200001,499226,472179
2,8,3600001,499659,472574
2,9,4000001,499849,472722
2,10,4400001,499930,472822
2,11,4800001,499967,472857
2,12,5200001,499990,472879
2,13,5600001,499998,472899
2,14,6000001,499998,472899
2,15,6400001,499998,472899
2,16,6800001,499999,472899
2,17,7200001,499999,472899
2,18,7600001,500000,472899
2,19,8000001,500000,472899
2,20,8400001,500000,472899
2,21,8800001,500000,472899
2,22,9200001,500000,472899
2,23,9600001,500000,472899
2,24,10000000,500000,472899
3,0,400001,275131,260067
3,1,800001,398985,380538
3,2,1200001,454603,430987
3,3,1600001,479690,453347
3,4,2000001,490752,463722
3,5,2400001,495798,468628
3,6,2800001,498058,470768
3,7,3200001,499140,471785
3,8,3600001,499618,472218
3,9,4000001,499842,472439
3,10,4400001,499923,472521
3,11,4800001,499962,472564
3,12,5200001,499984,472583
3,13,5600001,499991,472587
3,14,6000001,499994,472591
3,15,6400001,499997,472601
3,16,6800001,500000,472609
3,17,7200001,500000,472609
3,18,7600001,500000,472609
3,19,8000001,500000,472609
3,20,8400001,500000,472609
3,21,8800001,500000,472609
3,22,9200001,500000,472609
3,23,9600001,500000,472609
3,24,10000000,500000,472609
4,0,400001,275182,260694
4,1,800001,399183,381138
4,2,1200001,454851,431776
4,3,1600001,479824,454235
4,4,2000001,490918,463954
4,5,2400001,495892,468538
4,6,2800001,498150,470629
4,7,3200001,499208,471633
4,8,3600001,499636,472118
4,9,4000001,499849,472342
4,10,4400001,499923,472455
4,11,4800001,499963,472518
4,12,5200001,499990,472552
4,13,5600001,499996,472553
4,14,6000001,499999,472562
4,15,6400001,499999,472562
4,16,6800001,499999,472562
4,17,7200001,499999,472562
4,18,7600001,500000,472562
4,19,8000001,500000,472562
4,20,8400001,500000,472562
4,21,8800001,500000,472562
4,22,9200001,500000,472562
4,23,9600001,500000,472562
4,24,10000000,500000,472562
5,0,400001,275251,260460
5,1,800001,398826,381721
5,2,1200001,454439,431897
5,3,1600001,479585,454464
5,4,2000001,490808,464819
5,5,2400001,495873,469413
5,6,2800001,498093,471168
5,7,3200001,499128,472003
5,8,3600001,499620,472467
5,9,4000001,499820,472583
5,10,4400001,499925,472654
5,11,4800001,499961,472666
5,12,5200001,499979,472678
5,13,5600001,499995,472698
5,14,6000001,499997,472698
5,15,6400001,500000,472710
5,16,6800001,500000,472710
5,17,7200001,500000,472710
5,18,7600001,500000,472710
5,19,8000001,500000,472710
5,20,8400001,500000,472710
5,21,8800001,500000,472710
5,22,9200001,500000,472710
5,23,9600001,500000,472710
5,24,10000000,500000,472710
6,0,400001,275546,260387
6,1,800001,399307,379992
6,2,1200001,454758,429305
6,3,1600001,479622,451526
6,4,2000001,490943,461439
6,5,2400001,495969,466060
6,6,2800001,498198,468081
6,7,3200001,499241,468940
6,8,3600001,499670,469388
6,9,4000001,499845,469490
6,10,4400001,499938,469536
6,11,4800001,499975,469576
6,12,5200001,499989,469590
6,13,5600001,499995,469603
6,14,6000001,499999,469605
6,15,6400001,500000,469614
6,16,6800001,500000,469614
6,17,7200001,500000,469614
6,18,7600001,500000,469614
6,19,8000001,500000,469614
6,20,8400001,500000,469614
6,21,8800001,500000,469614
6,22,9200001,500000,469614
6,23,9600001,500000,469614
6,24,10000000,500000,469614
7,0,400001,275280,259813
7,1,800001,398830,381154
7,2,1200001,454476,431063
7,3,1600001,479518,453663
7,4,2000001,490898,463750
7,5,2400001,495861,468299
7,6,2800001,498114,470356
7,7,3200001,499160,471332
7,8,3600001,499632,471714
7,9,4000001,499833,471868
7,10,4400001,499922,471945
7,11,4800001,499976,472000
7,12,5200001,499992,472006
7,13,5600001,499997,472006
7,14,6000001,499999,472023
7,15,6400001,500000,472023
7,16,6800001,500000,472023
7,17,7200001,500000,472023
7,18,7600001,500000,472023
7,19,8000001,500000,472023
7,20,8400001,500000,472023
7,21,8800001,500000,472023
7,22,9200001,500000,472023
7,23,9600001,500000,472023
7,24,10000000,500000,472023
8,0,400001,275705,259747
8,1,800001,398992,379866
8,2,1200001,454410,429892
8,3,1600001,479505,452584
8,4,2000001,490807,462444
8,5,2400001,495912,466915
8,6,2800001,498166,468997
8,7,3200001,499166,469840
8,8,3600001,499636,470354
8,9,4000001,499834,470591
8,10,4400001,499915,470705
8,11,4800001,499964,470758
